,I,thou,he,we,you,they,this,that,here,there,who,what,where,when,how,not,all,many,some,few,other,one,two,three,four,five,big,long,wide,thick,heavy,small,short,narrow,thin,woman,man,human,child,wife,husband,mother,father,animal,fish,bird,dog,louse,snake,worm,tree,forest,stick,fruit,seed,leaf,root,bark,flower,grass,rope,skin,meat,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,leg,knee,hand,wing,belly,guts,neck,back,breast,heart,liver,drink,eat,bite,suck,spit,vomit,blow,breathe,laugh,see,hear,know,think,smell,fear,sleep,live,die,kill,fight,hunt,hit,cut,split,stab,scratch,dig,swim,fly,walk,come,lie,sit,stand,turn,fall,give,hold,squeeze,rub,wash,wipe,pull,push,throw,tie,sew,count,say,sing,play,float,flow,freeze,swell,sun,moon,star,water,rain,river,lake,sea,salt,stone,sand,dust,earth,cloud,fog,sky,wind,snow,ice,smoke,fire,ash,burn,road,mountain,red,green,yellow,white,black,night,day,year,warm,cold,full,new,old,good,bad,rotten,dirty,straight,round,sharp,dull,smooth,wet,dry,correct,near,far,right,left,at,in,with,and,if,because,name
 ha, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈbàː.kíː, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 he, (ʔ)aˈni, (ʔ)aˈta, (h)u, (ʔ)aˈnaχnu, (ʔ)aˈta, , ˈe.le, , kan, , , , ejˈfo, maˈtaj, (ʔ)eχ, lo, kol, , , , , , , , , , ɡaˈdɔl, , , , , , , , , , , , ˈje.led, (ʔ)iˈʃa, , ˈ(ʔ)em, (ʔ)av, , daɡ, t͡siˈpoʁ, , , naˈχaʃ, toˈla(ʔ)at, et͡s, ˈja(ʕ)aʁ, , pʁi, , (ʔ)aˈla, ˈʃoʁɛʃ, , , ˈdeʃe, ˈχe.vel, ɔʁ, bɔˈsɔr, , ˈʕɛsˀɛm, , , , , , sa.ʔaˈʁa, ʁɔʃ, , ˈajin, ʔaf, , , laˈʃɔn, , ˈʁɛɡɛl, ˈʁɛɡɛl, , jad, kaˈnaf, , , , , ʃad, , , ʃaˈta, , , , , , , , t͡saˈχak, , ˈʃema, ˈjeda, ħaˈʃav, ˈʁe.aχ, , , , , , , , , , , , , , , zvuv, , , , jaˈʃav, (ʕ)amad, , , , , , , , ˈneɡev, , , , , taˈfar, , , , , , , , , , jaˈʁɛaχ, , , mɔːˈtˀɔːr, naˈhaʁ, , , , ˈeven, , , adaˈma, (ʕ)aˈnan, , , ˈʁuax, ˈʃeleɡ, , , , , , , haʁ, , jaˈʁok, , , , ˈlaj.la, , ʃaˈna, , , , χaˈdaʃ, , , , , , , , , , , , , , , ʁaˈχɔk, , , , , am, , , , 
 hi, mɛ̃ː, tʊm, ʋəʱ, ɦəm, t̪uː, ʋeː, jəʱ, , , , kɔːn, kjɑː, , kəb, , nə.ɦĩː, səb, bɔˈhɔt̪, t̪ʰoɽaː, kʊt͡ʃʰ, ənj, , , t̪in, , pɑ̃ːt͡ʃ, , , t͡ʃɔː.ɽɑː, , bʱɑː.ɾɑː, t͡ʃʰoː.ʈɑː, kəm, t̪əŋɡ, pət̪.lɑː, ˈɔːɾət̪, məˈnʊ.ʂjə, , bət͡ʃ.t͡ʃɑː, , , , pɪ.t̪ɑː, pə.ʃuː, mət͡ʃʰ.liː, t͡ʃɪ.ɽiː.jɑː, kʊt̪.t̪ɑː, dʒũː, sɑ̃ːp, kiː.ɽɑː, , , t͡ʃʰə.ɽiː, pʰəl, , , d͡ʒəɽ, tʃʰaːl, pʰuːl, , ɖoː.ɾiː, t̪ʋə.t͡ʃɑː, ɡoːʃt̪, kʰuːn, ɦəɖ.ɖiː, , ən.ɖɑː, siːŋɡ, pũːt͡ʃʰ, , bɑːl, sɪɾ, kɑːn, ɑ̃ːkʰ, naːk, mũːʱ, d̪ɑ̃ːt̪, dʒiːbʱ, , pɛːɾ, , ɡʱʊʈ.nɑː, ɦaːt̪ʰ, , peːʈ, , , piːʈʰ, , d̪ɪl, , piːn̪ɑː, , , , t̪ʰuːk.nɑː, , , , ɦə̃s.nɑː, d̪eːkʰ.nɑː, sʊn.nɑː, ˈd͡ʒɑːn̪.n̪ɑː, sotʃn̪aː, ɡənd̪ʱ, , soː.nɑː, d͡ʒina, məɾ.nɑː, mɑːɾ‿ɖɑːl.nɑː, ləɽ.nɑː, , ˈmɑːɾ.nɑː, kɑːʈ.nɑː, , , , kʰoːd̪.nɑː, , , ʈɛːʱl.nɑː, ɑːn̪ɑː, d͡ʒʱuːʈʰ, bɛʈʰnaː, , , ɡɪɾ.nɑː, d̪eː.nɑː, pə.kəɽ.nɑː, , rəɡəɽna, ˈd̪ʱoː.n̪ɑː, , kʰĩː(ɳ).t͡ʃnɑː, d̪ʱə.keːl.nɑː, pʰeːŋk.nɑː, , , ɡɪn.nɑː, kɛːʱ.nɑː, ˈɡɑː.nɑː, kʰeːl.nɑː, , , d͡ʒəm.nɑː, , , t͡ʃɑːnd̪, , pɑː.niː, bɑː.ɾɪʃ, nədiː, d͡ʒʱiːl, , , pət̪.t̪ʰəɾ, ɾeːt̪, d̪ʱuːl, dʰərtiː, meːɡʱ, , , ɦəʋaː, bə.ɾəf, , d̪ʱuː.ɑ̃ː, ɑːɡ, rakʰ, d͡ʒəl.nɑː, səɽək, pə.ɦɑːɽ, lɑːl, ɦə.ɾɑː, piˈla, səfed̪, kaːlaː, ɾɑːt̪, d̪ɪn, saːl, , ʈʰən.ɖɑː, puːɾn, nə.jɑː, pʊ.ɾɑː.nɑː, ət͡ʃ.t͡ʃʰɑː, , , ɡən.d̪ɑː, siː.d̪ʱɑː, , , , t͡ʃɪk.nɑː, ɡiːlaː, suː.kʰɑː, sə.ɦiː, , d̪uːɾ, ə.d̪ʱɪ.kɑːɾ, , pəɾ, ən.d̪əɾ, sɑːt̪ʰ, ɔːɾ, ə.ɡəɾ, ˈkjũ.ki, naːm
 ho, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 hr, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ht, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , z, , , kuˈlɛv, , , , , , , , , , , z, , , , , , , , , , , , , z, , , , , , , , , , mɜ̃, z, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , vɛt, , blã, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 hu, ˈeːn, ˈtɛ, ˈøː, ˈmi, ˈtɛ, ˈøːk, , ˈɒz, ˈitː, ˈotː, ˈki, ˈmi, ˈɒɦol, ˈmikor, , ˈnɛm, ˈmindɛn, ˈʃok, , ˈkɛveːʃ, ˈmaːʃik, ˈɛɟː, ˈkɛtːøː, ˈhaːrom, ˈneːɟ, ˈøt, ˈfɛlnøːtː, ˈhosːuː, ˈseːlɛʃ, ˈvɒʃtɒɡ, ˈnɛɦeːz, ˈkit͡ʃi, ˈrøvid, ˈsyːk, ˈveːkoɲ, ˈnøː, ˈɛmbɛr, ˈɛmbɛri, ˈɟɛrɛk, ˈɒsːoɲ, ˈfeːrʝ, ˈɒɲɒ, ˈɒpɒ, ˈaːlːɒt, ˈhɒl, ˈmɒdaːr, ˈkucɒ, ˈtɛtyː, ˈkiːɟoː, ˈkukɒt͡s, ˈfɒ, ˈɛrdøː, ˈbot, ˈɟymølt͡ʃ, ˈmɒɡ, ˈlɛveːl, ˈɟøkeːr, ˈkeːrɛɡ, ˈviraːɡ, ˈfyː, ˈkøteːl, ˈbøːr, ˈhuːʃ, ˈveːr, ˈt͡ʃont, ˈʒiːr, ˈtojaːʃ, ˈsɒrv, ˈfɒrok, ˈtolː, ˈhɒj, ˈfɛj, ˈfyl, ˈsɛm, ˈorː, ˈsaːj, ˈfoɡ, ˈɲɛlv, ˈkørøm, ˈlaːb, ˈlaːb, ˈteːrd, ˈkeːz, ˈsaːrɲ, ˈhɒʃ, ˈbeːl, ˈɲɒk, ˈhaːt, ˈmɛlː, ˈsiːv, ˈmaːj, ˈisik, , ˈhɒrɒp, ˈsopik, ˈkøp, ˈhaːɲ, ˈfuːj, ˈleːlɛɡzik, ˈnɛvɛt, ˈlaːt, ˈhɒlː, ˈtud, ˈɡondolkodik, ˈsɒɡ, ˈfeːlɛlɛm, ˈɒlsik, ˈeːl, ˈmɛkhɒl, ˈøl, ˈhɒrt͡sol, ˈvɒdaːsik, ˈyt, ˈvaːɡ, ˈhɒʃiːt, ˈdøf, ˈvɒkɒr, ˈaːʃ, ˈuːsik, ˈleːɟ, ˈjaːr, ˈjøn, ˈhɒzukʃaːɡ, ˈyl, ˈaːlː, ˈforoɡ, ˈɛʃik, ˈɒd, ˈtɒrt, ˈɲom, ˈdørʒøl, ˈmoʃ, ˈtørøl, ˈhuːz, ˈtol, ˈdob, ˈkøt, ˈvɒrː, ˈsaːmol, ˈmond, ˈeːnɛkɛl, ˈjaːt͡sːik, ˈlɛbɛɡ, ˈfojik, , ˈdɒɡɒd, ˈnɒp, ˈhold, ˈt͡ʃilːɒɡ, ˈviːz, ˈɛʃøː, ˈfojoː, ˈtoː, ˈtɛŋɡɛr, ˈʃoː, ˈkøː, ˈhomok, ˈpor, ˈtɒlɒj, ˈfɛlɦøː, ˈkød, ˈeːɡ, ˈseːl, ˈhoː, ˈjeːɡ, ˈfyʃt, ˈtyːz, ˈhɒmu, ˈeːɡ, ˈuːt, ˈhɛɟ, ˈpiroʃ, ˈzøld, ˈʃaːrɡɒ, ˈfɛɦeːr, ˈfɛkɛtɛ, ˈeːjsɒkɒ, ˈnɒp, ˈeːv, ˈmɛlɛɡ, ˈhidɛɡ, ˈtɛlɛ, ˈuːj, ˈreːɡi, ˈjoː, ˈrosː, ˈroɦɒtː, ˈpiskoʃ, ˈɛɟɛnɛʃ, ˈkɛrɛk, ˈeːlɛʃ, , ˈʃimɒ, ˈnɛdvɛʃ, ˈsaːrɒz, ˈhibaːtlɒn, ˈkøzɛl, ˈmɛsːɛ, ˈjoɡ, ˈbɒl, , bɒn, vɒl, ˈeːʃ, ˈhɒ, ˈmɛrt, ˈneːv
 hy, jɛs, du, nɑ, mɛŋkʰ, du, nəˈɾɑŋkʰ, ɑjs, ɑjd, ɑjsˈtɛʁ, ɑjnˈtɛʁ, ɔv, int͡ʃʰ, vɔɾˈtɛʁ, jɛɾpʰ, int͡ʃʰˈpɛs, t͡ʃʰ, bɔˈlɔɾ, ʃɑt, , kʰitʃʰ, ɑjl, mɛk, jɛɾˈku, jɛˈɾɛkʰ, t͡ʃʰɔɾs, hiŋɡ, mɛt͡s, jɛɾˈkɑɾ, lɑjn, hɑst, ˈtsɑnəɾ, ˈpʰɔkʰəɾ, kɑɾt͡ʃ, nɛʁ, bɑˈɾɑk, kin, mɑɾtʰ, mɑɾtʰkɑˈjin, jɛɾɛˈχɑ, kin, ɑmuˈsin, mɑjɾ, hɑjɾ, kɛntʰɑˈni, d͡zuk, tʰərˈtʃʰun, ʃun, vɔˈt͡ʃʰil, ɔt͡sʰ, vɔɾtʰ, t͡sɑr, ɑnˈtɑr, pʰɑjt, pəˈtuʁ, sɛɾm, tɛˈɾɛv, ɑɾˈmɑt, kɛˈʁɛv, t͡sɑˈʁik, χɔt, pɑˈɾɑn, mɑʃk, mis, ɑɾˈjun, vɔsˈkɔɾ, t͡ʃɑɾp, d͡zu, jɛʁd͡ʒˈjuɾ, pɔt͡ʃʰ, pʰɛˈtuɾ, , ɡəˈluχ, ɑˈkɑnd͡ʒ, ɑt͡ʃʰkʰ, kʰitʰ, bɛˈɾɑn, ɑˈtɑm, lɛˈzu, jɛˈʁunɡ, vɔtkʰ, vɔtkʰ, t͡suŋk, d͡zɛrkʰ, tʰɛv, pʰɔɾ, pʰoɾoˈtikʰ, viz, mɛt͡ʃʰkʰ, kuɾt͡skʰ, siɾt, ljɑɾtʰ, χəˈmɛl, uˈtɛl, kəˈtsɛl, t͡səˈt͡sɛl, tʰəˈkʰɛl, , pʰəˈt͡ʃʰɛl, ʃənˈt͡ʃʰɛl, t͡sit͡sɑˈʁɛl, tɛsˈnɛl, ləˈsɛl, ɡitɛˈnɑl, mətɑˈt͡sɛl, hɔt, vɑχ, kʰəˈnɛl, ɑpˈɾɛl, mɛrˈnɛl, spɑˈnɛl, kərˈvɛl, vɔɾˈsɑl, χəˈpʰɛl, kətˈɾɛl, , χoˈtsʰɛl, kʰɛɾˈtsɛl, pʰɔˈɾɛl, lɔˈʁɑl, t͡ʃɑnt͡ʃ, kʰɑjˈlɛl, ɡɑl, sut, nəsˈtɛl, kɑŋɡˈnɛl, ʃəɾdʒˈvɛl, əŋkˈnɛl, tɑl, bərˈnɛl, sɛʁˈmɛl, , ləˈvɑl, səɾˈpʰɛl, kʰɑˈʃɛl, həˈɾɛl, nɛˈtɛl, kɑˈpɛl, kɑˈɾɛl, , ɑˈsɛl, jɛɾˈkʰɛl, χɑˈʁɑl, , hoˈsɛl, , uˈrɛl, ɑˈɾɛv, luˈsin, ˈɑstəʁ, d͡ʒuɾ, ɑnd͡zˈɾɛv, ɡɛt, lit͡ʃ, t͡sɔv, ɑʁ, kʰɑɾ, ɑˈvɑz, pʰoˈʃi, hɔʁ, ɑmp, mɑrɑˈχuʁ, jɛɾˈkiŋkʰ, kʰɑˈmi, d͡zjun, sɑˈrujt͡sʰ, t͡suχ, kəˈɾɑk, moˈχiɾ, ajɾˈvɛl, t͡ʃɑnɑˈpɑɾ, lɛr, kɑɾˈmiɾ, kɑˈnɑt͡ʃʰ, dɛˈʁin, əspiˈtɑk, sɛv, ɡiˈʃɛɾ, ɔɾ, tɑˈɾi, d͡ʒɛɾm, ˈsɑrə, ˈlikʰə, nɔɾ, hin, lɑv, vɑt, pʰəˈtɑt͡s, kɛχˈtɔt, uˈʁiʁ, , suɾ, butʰ, hɑɾtʰ, tʰɑt͡sʰ, t͡ʃʰoɾ, t͡ʃiʃt, mɔt, hɛˈru, iɾɑˈvuŋkʰ, d͡zɑχ, , mɛt͡ʃʰ, hɛt, ɛv, jɛˈtʰɛ, vɔɾɔfhɛˈtɛv, ɑˈnun
 hz, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ia, ˈi.o, , , , , , , , , ˈil.lak, , , , , , , , , , , , , , , , ˈtsiŋ.kwe, , , , , , , , , , , ˈho.mi.ne, , , , maˈri.to, , , a.niˈmal, , , , , , , ˈar.bo.re, , , , , , , , , , , , , ˈsaŋ.ɡwi.ne, , , , , , , , , , ˈo.ku.lo, , , , ˈliŋ.ɡwa, , , , , ˈma.no, , , , , , , , , , , , , , , , , , viˈder, au̯ˈdir, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , diˈtser, kanˈtar, ʒoˈkar, , , , , , , , , ˈpluvja, , ˈla.ko, , , , , , , , , , , , , , , , , , monˈta.nja, , , , blaŋk, , , , , , ˈfri.ɡi.de, , , , , , , , , , , , , , , , , , , , a, , , , , ˈpro.k(w)e, ˈno.mi.ne
 id, saja, kamu, dia, kami, , məreka, , , , , , , , ka.pan, , , sə.mu.a, baɲak, , , , sa.tu, , ti.ɡa, əm.pat, , , , , , , kə.tʃil, , , , , o.raŋ, , , istri, , , bapa, , , , aɲ.dʒiŋ, , , , po.hon, hu.tan, , , , , , , , , , , , , , , , , , , , kə.pa.la, , , , , ɡi.ɡi, , , , , , taŋan, , , , , , , d͡ʒan.tʊŋ, ha.ti, , , , , , , , , , , də.ŋar, ta.hu, pi.kir, , ta.kut, ti.dur, hi.dup, , məmbunʊh, , , , , , , , , , , , da.taŋ, , , , , , bəri, , , , , , , doroŋ, , , , , , , , , , , , , bu.lan, , a.ʔɪr, , , , , , , , , ta.nah, , , la.ŋit, , , , , a.pi, abu, , , , , , , , , ˈmalam, , , , , , , la.ma, , bu.ruʔ, , , , , , , , , , tə.pat, dəkat, , haʔ, , , , də.ŋan, dan, , , 
 ie, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ig, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ii, ŋa˧, , , , nɯ˧, , , , , , , , , , , , , , , , , tsʰz̩˨˩, n̠ʲi˨˩, sɔ˧, lz̩˧, ŋɯ˧, , , , , , , , , , , , , , , , , , , hɯ˧, , kʰɯ˧, , , , sz̩̠˧, , , , , , , , , , , , , sz̩˧, , , , , , , , , , , , , dʐz̩˧, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ɬɯ˨˩, , ʑz̩˧, , , , , , , , , , , , , , vo˧˧, , , , , , , bo˧˧, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ik, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 io, me, tu, il, , , , ˈi.tso, ta, , ˈi.be, kwa, kwo, ˈu.be, ˈkan.de, ˈkwa.le, ne, , , , po.ka, alˈtra, un, , , kwar, , , , , , , , , , ˈdi.na, , , , , , , ˈma.tro, ˈpa.tro, aniˈmalo, , uˈt͡selo, ˈhundo, ˈlau̯.so, , , , , , ˈfruk.to, , , , kor.ti.t͡so, , , ˈkor.do, , , , , , , , , ˈplu.mo, ˈharo, , oˈrelo, oˈkulo, ˈnazo, ˈbo.ko, ˈden.to, ˈlanɡo, , ˈpedo, , ˈɡe.nu.o, , , , , , ˈdorso, ˈmamo, kor.di.o, , drinˈkar, , morˈdar, suˈɡar, , , sufˈlar, , , vi.ˈdar, , , , , , dorˈmar, , mɔrˈtar, mɔr.ti.ˈɡar, , , fraˈpar, , fen.ˈdar, , , ɛks.kaˈvar, naˈtar, , pro.meˈnar, , ˈmen.ti̯(.)o, si.ˈdar, staˈt͡sar, , faˈlar, doˈnar, , , , , , , , , , su.ˈtar, kɔnˈtar, , kan.ˈtar, , , ˈflu̯ar, , , ˈsu.no, ˈlu.no, , ˈa.kwo, ˈplu.vo, , ˈla.ɡo, ˈmaro, , , , , ˈtero, ˈnu.bo, neˈbulo, , , ˈni.vo, ˈɡla.tsi.o, , fa.ˈi.ro, ˈt͡sin.dro, bruˈlar, , ˈmonto, , , , ˈblan.ka, , ˈnokto, ˈdi.o, ˈjaro, , ˈkol.da, , ˈno.va, an.t͡siˈ(j)e.na, beˈniɡ.na, , puˈtrinta, , , , aˈkuta, ɔbˈtuza, ˈɡla.ta, huˈmi.da, , , ˈprɔksim, , ˈju.ro, , je, , , e, se, , ˈno.mo
 is, jɛɣ, θu, ˈhanː, vɪð, θu, θeiːr, ˈθɛsːɪ, , çɛːr, ˈθartna, xʷɛːr, xʷaːð, , , , ˈɛhcɪ, , ˈmarkʏr, , , , eitn, tʰveiːr, θriːr, ˈfjouːrir, fɪmː, , ˈlaŋkʏr, ˈpreiːðʏr, ˈθjɛhtʏr, ˈθuŋkʏr, smauːr, ˈstʏhtʏr, ˈθrøyŋkʏr, ˈθʏnːʏr, ˈkʰɔːna, ˈmanːɛsca, , ˈpartn, ˈeiːjɪn.kʰɔːna, ˈeiːjɪn.maːðʏr, ˈmamːa, ˈfaːðɪr, tiːr, ˈfɪskʏr, fʏkl, ˈhʏntʏr, luːs, ˈstnauːkʏr, ˈmaθkʏr, tʰrjɛː, ˈskouːʏr, ˈstaːvʏr, ˈauːvœxstʏr, fraiː, løyːv, rouːt, ˈpœr̥kʏr, plouːm, kraːs, ˈreiːpɪ, huːð, kʰjœːt, plouːð, ˈpeiːn, ˈfɪːta, ˈɛkː, hɔrtn, ˈhaːlɪ, fjœːðʏr, hauːr, hœːvʏθ, ˈeira, ˈøyːɣa, nɛːv, ˈmʏnːʏr, tʰœnː, ˈtʰuŋka, nœkl, , ˈfouːtʏr, n̥jɛː, hœnt, ˈvaiŋkʏr, ˈmaːjɪ, , hauls, paːk, prjoust, ˈçar̥ta, ˈlɪːvʏr, ˈtrɛhka, , ˈpiːta, ˈsjuːa, ˈr̥aiːca, ˈaiːla, , ˈanta, ˈl̥aiːja, ˈsjauː, ˈheiːra, ˈvɪːta, ˈhʏxsa, lɪxt, ˈr̥aiðstla, ˈsɔːva, ˈlɪːva, ˈteiːja, ˈtrɛːpa, , ˈveiːða, stlauː, ˈscɛːra, ˈkʰlɔpna, , , , ˈsɪnta, ˈflʏːɣa, ˈkauŋka, ˈkʰɔːma, ˈlɪːjɪ, ˈsɪːtja, ˈstanta, , ˈfatla, ˈcɛːva, ˈhalta, , , θvɔː, , ˈtraːɣa, ˈr̥ɪnta, ˈkʰasta, , ˈsøyːma, ˈtʰɛlja, ˈseiːja, ˈsiɲca, ˈleiːka, , ˈrɛnːa, ˈfrjouːsa, , souːl, tʰuŋl, ˈstjartna, vaʰtn, ˈrɪkniŋk, fljouːt, vaʰtn, haːv, sal̥t, steitn, ˈsantʏr, rɪːk, jœrð, sciː, ˈθɔːka, ˈhɪːmɪnː, ˈvɪntʏr, snjouːr, iːs, ˈreiːkʏr, ˈɛltʏr, ˈaska, ˈprɛnːa, ˈvɛːɣʏr, fjatl, ˈrøyːðʏr, kraitn, ˈkʏːlʏr, ˈxʷiːtʏr, ˈsvar̥tʏr, nouʰt, ˈtaːɣʏr, auːr, , ˈkʰaltʏr, ˈfʏtɬʏr, niːr, ˈkaːmatl, ˈkouːðʏr, ˈvɔntʏr, , ˈouːr̥eitn, peitn, , xʷasː, , ˈstljɛhtʏr, ˈvɔːtʏr, θʏrː, ˈrjɛht, , , ˈrjɛhtɪntɪ, , , , , ɔːɣ, ɛːv, , napn
 it, ˈi.o, t̪u, ˈlui, ˈnoi, t̪u, , ˈkwes.to, ˈkwello, kwa, , k̟i, , ˈdove, ˈkwando, ˈkome, non, ˈtutto, , , ˈpɔ.ko, ˈal.tro, ˈuno, ˈdu.e, tre, ˈkwat.tro, ˈt͡ʃin.kwe, ˈɡran.de, ˈlunɡo, ˈlarɡo, ˈspes.so, peˈsante, pikˈko.lo, ˈkorto, ˈstretːo, sotˈtile, ˈdɔn.na, ˈwɔ.mo, , bamˈbi.no, ˈspɔ.za, maˈri.to, ˈma.dre, ˈpa.dre, aniˈmale, ˈpeʃːe, uˈt͡ːʃɛlːo, ˈka.ne, pi.ˈdɔk̚.kjo, serˈpɛn.te, ˈvɛrme, ˈal.be.ro, , basˈtone, ˈfru.tːo, ˈseme, ˈfɔʎʎa, raˈditʃe, korˈtettʃa, , ˈɛrba, ˈkɔrda, ˈpɛlle, ˈkar.ne, ˈsan.ɡwe, ˈɔsso, ˈɡras.so, ˈwɔ.vo, ˈkɔr.no, ˈkoda, ˈpjuma, , ˈtɛs.ta, ɔˈrekkjo, ˈɔk.kjo, ˈna.zo, ˈbokka, ˈdɛnte, ˈliŋ.ɡwa, ˈun.ɡja, ˈpjɛde, ˈɡamba, dʒiˈnɔkkjo, ˈmaːno, ˈala, ˈpan.t͡ʃa, , ˈkɔl.lo, ˈskjɛna, ˈse.no, ˈkwɔːre, ˈfeɡato, ˈbe.re, manˈdʒa.re, ˈmɔrdere, , spuˈtare, vomiˈtare, sofˈfjare, respiˈrare, ˈri.de.re, veˈde.re, , saˈpeː.re, , oˈdo.re, paˈu.ra, dorˈmire, ˈvi.ve.re, moˈrire, utˈt͡ʃi.de.re, lɔt.ˈta.re, katˈtʃare, kolˈpire, taʎˈʎare, ˈfɛndere, puɲɲaˈlare, , skaˈvare, nwoˈtare, , kammiˈnare, veˈnire, buˈd͡ʒi.a, seˈdere, , dʒiˈrare, kaˈdere, ˈda.re, teˈne.re, , strofiˈnare, , aʃʃuˈɡare, t̪iˈrare, ˈspindʒere, , leˈɡare, kuˈtʃire, konˈtare, ˈdi.re, kanˈtaːre, d͡ʒoˈkä.re, ɡalledˈdʒare, fluˈire, dʒeˈlare, , ˈso.le, ˈlu.na, ˈstel.la, , ˈpjɔddʒa, ˈfju.me, ˈlaɡo, ˈmaːre, ˈsale, ˈpjɛtra, ˈsab.bja, ˈpol.ve.re, ˈtɛr.ra, ˈnu.vo.la, ˈnebbja, ˈt͡ʃɛ.lo, ˈvɛn.to, ˈne.ve, ˈɡjat.t͡ʃo, , ˈfwɔko, , , ˈstrada, monˈtaɲɲa, ˈros.so, ˈver.de, ˈdʒal.lo, ˈbjaŋko, ˈne.ro, ˈnɔtːe, ˈd͡ʒorno, ˈan.no, ˈkaldo, ˈfreddo, ˈpjɛno, ˈnwɔ.vo, ˈvɛk.kjo, ˈbwɔː.no, kaˈtːiːvo, , ˈspɔrko, dritto, roˈtondo, affiˈlato, , ˈliʃʃo, baɲˈɲato, ˈsekko, korˈrɛtto, viˈtʃino, lonˈtano, , , a, ˈin, kon, e, se, perˈke, ˈno.me
 iu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈi.nuk, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
